ad_text,industry,actual_ctr,impressions,factor_urgency,factor_social,factor_spec,factor_cta,factor_curiosity,factor_price
"The designer watch you've been waiting for. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Great value. A new product. Start your free trial — no credit card, cancel anytime.",Luxury Goods,0.008257,187029,0,3,0,3,0,1
The skincare set you've been waiting for. For everyone. Shop now. A smarter choice. What nobody tells you about. Quality you can trust.,Beauty & Cosmetics,0.01855,179609,0,0,0,1,2,1
The skincare set you've been waiting for. Lowest price guaranteed. For everyone. Start your free trial. A smarter choice. The counterintuitive trick that doubled our results.,Beauty & Cosmetics,0.023997,195983,0,0,0,2,3,3
The designer watch you've been waiting for. Save $75 instantly and get free shipping over $50. Affordable for everyone. Ends at midnight tonight. What nobody tells you about. For everyone. Grab yours now.,Luxury Goods,0.014159,50753,3,0,3,2,2,2
The wireless headphones you've been waiting for. Ends at midnight tonight. Budget-friendly. Learn more. Get 40% off. A new product. Loved by customers.,Consumer Electronics,0.020451,50940,3,1,2,0,0,2
"The coffee subscription you've been waiting for. Learn more. While supplies last. What nobody tells you about. #1 rated in its category, backed by 25,000 five-star reviews. Budget-friendly. A smarter choice.",Food & Beverage,0.019785,111040,1,3,0,0,2,2
"The daily supplements you've been waiting for. Save $75 instantly and get free shipping over $50. Budget-friendly. A customer favorite. Offer expires today — act now. The counterintuitive trick that doubled our results. Start your free trial — no credit card, cancel anytime.",Health & Wellness,0.026992,122333,3,1,3,3,3,2
The daily supplements you've been waiting for. A new product. Try it today. 48-hour flash sale. Quality you can trust. For everyone. Save $75 instantly and get free shipping over $50.,Health & Wellness,0.017813,86545,3,0,3,1,0,1
The unlimited data plan you've been waiting for. Start your free trial. Quality you can trust. Offer expires today — act now. Highly rated. Save $75 instantly and get free shipping over $50.,Telecom,0.011474,184275,3,1,3,2,0,1
The downtown condo you've been waiting for. You'll want to see this. Shop the collection. Learn more. The luxury standard. Save on your order.,Real Estate,0.004556,107505,0,0,1,0,1,0
"The training program you've been waiting for. Here's why it works. Ends at midnight tonight. Start your free trial — no credit card, cancel anytime. Get 40% off. Lowest price guaranteed. Loved by customers.",Fitness,0.030665,167679,3,1,2,3,1,3
"The credit card you've been waiting for. Save $75 instantly and get free shipping over $50. Join 50,000 happy customers. Shop now. What nobody tells you about. Shop the collection. Quality you can trust.",Finance / Fintech,0.011582,130965,0,2,3,1,2,1
"The streaming plan you've been waiting for. Don't miss out. Budget-friendly. Start your free trial — no credit card, cancel anytime. Great value. #1 rated in its category, backed by 25,000 five-star reviews. Here's why it works.",Entertainment / Streaming,0.030517,199905,1,3,0,3,1,2
The unlimited data plan you've been waiting for. Loved by customers. Available now. Learn more. A new product. The luxury standard. Get 40% off.,Telecom,0.00694,78735,0,1,2,0,0,0
The grain-free pet food you've been waiting for. While supplies last. For everyone. Get started. Quality you can trust. What nobody tells you about. A smarter choice.,Pet Care,0.016952,97436,1,0,0,1,2,1
The credit card you've been waiting for. A smarter choice. Claim your discount. Don't miss out. The secret pros use. The luxury standard. For everyone.,Finance / Fintech,0.008773,58620,1,0,0,2,2,0
"The wireless headphones you've been waiting for. Budget-friendly. Save $75 instantly and get free shipping over $50. Learn more. Here's why it works. #1 rated in its category, backed by 25,000 five-star reviews. Offer expires today — act now.",Consumer Electronics,0.026099,27343,3,3,3,0,1,2
The family sedan you've been waiting for. Lowest price guaranteed. Loved by customers. You'll want to see this. Save $75 instantly and get free shipping over $50. Today only.,Automotive,0.010774,46588,2,1,3,0,1,3
"The game pass you've been waiting for. Here's why it works. Ends soon. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Save $75 instantly and get free shipping over $50. Start your free trial — no credit card, cancel anytime.",Gaming,0.039887,135959,1,3,3,3,1,1
"The monthly donation you've been waiting for. Start your free trial — no credit card, cancel anytime. Ends at midnight tonight. Save $75 instantly and get free shipping over $50. Affordable for everyone. Loved by customers.",Nonprofit,0.017434,91319,3,1,3,3,0,2
"The insurance plan you've been waiting for. The counterintuitive trick that doubled our results. Save 30% today. Final hours. Quality you can trust. Start your free trial — no credit card, cancel anytime. Rated 4.8/5 by thousands.",Insurance,0.008467,23876,2,2,2,3,3,1
"The downtown condo you've been waiting for. Save on your order. Grab yours now. Budget-friendly. The secret pros use. Only 24 hours left. Trusted by 10,000+ buyers.",Real Estate,0.009205,6372,2,2,1,2,2,2
The designer watch you've been waiting for. The counterintuitive trick that doubled our results. 48-hour flash sale. Budget-friendly. Save on your order.,Luxury Goods,0.009021,35316,3,0,1,0,3,2
The downtown condo you've been waiting for. You'll want to see this. Start your free trial. Get 40% off. Shop the collection. Quality you can trust.,Real Estate,0.006374,169077,0,0,2,2,1,1
"The garden kit you've been waiting for. Quality you can trust. Save $75 instantly and get free shipping over $50. Trusted by 10,000+ buyers. Start your free trial. Offer expires today — act now. You'll want to see this.",Home & Garden,0.019317,189403,3,2,3,2,1,1
The streaming plan you've been waiting for. Shop now. The luxury standard. Cut your bill by half. While supplies last. You'll want to see this. For everyone.,Entertainment / Streaming,0.019581,105614,1,0,2,1,1,0
"The monthly donation you've been waiting for. Don't miss out. Quality you can trust. You'll want to see this. Trusted by 10,000+ buyers. Real savings inside.",Nonprofit,0.011217,125800,1,2,1,0,1,1
"The unlimited data plan you've been waiting for. Highly rated. Start your free trial — no credit card, cancel anytime. Quality you can trust. Real savings inside. Today only. A new product.",Telecom,0.01298,170398,2,1,1,3,0,1
The designer watch you've been waiting for. Highly rated. Save $75 instantly and get free shipping over $50. Budget-friendly. Get started.,Luxury Goods,0.01013,31367,0,1,3,1,0,2
The daily supplements you've been waiting for. Great value. The counterintuitive trick that doubled our results. Loved by customers. Affordable for everyone.,Health & Wellness,0.014939,167686,0,1,0,0,3,2
The credit card you've been waiting for. For everyone. Try it today. Quality you can trust. Get 40% off. While supplies last.,Finance / Fintech,0.009006,70498,1,0,2,1,0,1
"The getaway package you've been waiting for. The counterintuitive trick that doubled our results. Save $75 instantly and get free shipping over $50. Start your free trial. Don't miss out. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews.",Travel & Hospitality,0.016367,175519,1,3,3,2,3,1
"The game pass you've been waiting for. Lowest price guaranteed. Ends at midnight tonight. Try it today. #1 rated in its category, backed by 25,000 five-star reviews. Get 40% off.",Gaming,0.041514,23425,3,3,2,1,0,3
The garden kit you've been waiting for. Loved by customers. The counterintuitive trick that doubled our results. Save $75 instantly and get free shipping over $50. Learn more. Ends soon. The luxury standard.,Home & Garden,0.01214,153209,1,1,3,0,3,0
"The sneakers you've been waiting for. Join 50,000 happy customers. Save 30% today. Budget-friendly. The secret pros use. While supplies last. Start your free trial — no credit card, cancel anytime.",E-commerce Fashion,0.031621,186479,1,2,2,3,2,2
The downtown condo you've been waiting for. Great value. Shop the collection. What nobody tells you about. Loved by customers. Unbeatable price.,Real Estate,0.006993,64223,0,1,0,0,2,3
The monthly donation you've been waiting for. Quality you can trust. Only 24 hours left. Shop now. Save on your order. What nobody tells you about.,Nonprofit,0.011111,90447,2,0,1,1,2,1
"The sneakers you've been waiting for. Save $75 instantly and get free shipping over $50. Start your free trial — no credit card, cancel anytime. The luxury standard. You'll want to see this. Highly rated. Shop the collection.",E-commerce Fashion,0.018127,98204,0,1,3,3,1,0
The daily supplements you've been waiting for. Learn more. Great value. A new product. Premium craftsmanship. Offer expires today — act now. For everyone.,Health & Wellness,0.012719,30954,3,0,0,0,0,0
"The daily supplements you've been waiting for. Available now. Quality you can trust. Learn more. You'll want to see this. #1 rated in its category, backed by 25,000 five-star reviews. Save 30% today.",Health & Wellness,0.017722,183366,0,3,2,0,1,1
The credit card you've been waiting for. Cut your bill by half. Shop now. 48-hour flash sale. Premium craftsmanship. Here's why it works.,Finance / Fintech,0.010098,79310,3,0,2,1,1,0
"The sneakers you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Budget-friendly. Save $75 instantly and get free shipping over $50. You'll want to see this.",E-commerce Fashion,0.027623,109902,0,3,3,0,1,2
The skincare set you've been waiting for. Cut your bill by half. Today only. The luxury standard.,Beauty & Cosmetics,0.020296,99683,2,0,2,0,0,0
"The skincare set you've been waiting for. Save on your order. Start your free trial — no credit card, cancel anytime. Here's why it works. Ends soon. Quality you can trust.",Beauty & Cosmetics,0.024615,76119,1,0,1,3,1,1
"The monthly donation you've been waiting for. Cut your bill by half. Here's why it works. Start your free trial — no credit card, cancel anytime. Don't miss out. Budget-friendly. A customer favorite.",Nonprofit,0.01457,32245,1,1,2,3,1,2
"The family sedan you've been waiting for. Trusted by 10,000+ buyers. Try it today. The luxury standard. The secret pros use. Cut your bill by half. Ends soon.",Automotive,0.006976,175972,1,2,2,1,2,0
The unlimited data plan you've been waiting for. Ends soon. A new product. Learn more. Great value. Quality you can trust.,Telecom,0.007171,59360,1,0,0,0,0,1
"The software suite you've been waiting for. Highly rated. Quality you can trust. Start your free trial — no credit card, cancel anytime. Save $75 instantly and get free shipping over $50. The secret pros use.",SaaS / B2B,0.009649,151132,0,1,3,3,2,1
The streaming plan you've been waiting for. The secret pros use. Ends soon. Lowest price guaranteed. A smarter choice. Highly rated.,Entertainment / Streaming,0.027152,31872,1,1,0,0,2,3
The game pass you've been waiting for. Cut your bill by half. Try it today. Today only. Quality you can trust. Rated 4.8/5 by thousands.,Gaming,0.027884,127970,2,2,2,1,0,1
"The getaway package you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. The secret pros use. Cut your bill by half. Budget-friendly. Available now.",Travel & Hospitality,0.015622,40956,0,3,2,0,2,2
The unlimited data plan you've been waiting for. Save $75 instantly and get free shipping over $50. For everyone. Ends soon. Lowest price guaranteed. You'll want to see this. Shop now.,Telecom,0.012349,149315,1,0,3,1,1,3
"The grain-free pet food you've been waiting for. Ends soon. You'll want to see this. Shop now. Cut your bill by half. #1 rated in its category, backed by 25,000 five-star reviews. Budget-friendly.",Pet Care,0.028375,141345,1,3,2,1,1,2
"The game pass you've been waiting for. Join 50,000 happy customers. Grab yours now. Here's why it works. Premium craftsmanship. Don't miss out. Great value.",Gaming,0.025694,199552,1,2,0,2,1,0
The sneakers you've been waiting for. For everyone. Don't miss out. The counterintuitive trick that doubled our results. Start your free trial. Affordable for everyone. Save $75 instantly and get free shipping over $50.,E-commerce Fashion,0.024825,20735,1,0,3,2,3,2
The getaway package you've been waiting for. Start your free trial. Lowest price guaranteed. Rated 4.8/5 by thousands. The counterintuitive trick that doubled our results. A smarter choice.,Travel & Hospitality,0.017721,196354,0,2,0,2,3,3
"The daily supplements you've been waiting for. Quality you can trust. Great value. Today only. A customer favorite. The secret pros use. Start your free trial — no credit card, cancel anytime.",Health & Wellness,0.019142,192710,2,1,0,3,2,1
"The garden kit you've been waiting for. Great value. You'll want to see this. Quality you can trust. Don't miss out. Trusted by 10,000+ buyers.",Home & Garden,0.013748,5240,1,2,0,0,1,1
The streaming plan you've been waiting for. A new product. Learn more. Highly rated. Real savings inside. Premium craftsmanship. While supplies last.,Entertainment / Streaming,0.017757,105564,1,1,1,0,0,0
The family sedan you've been waiting for. Save $75 instantly and get free shipping over $50. A new product. Learn more. Available now. Lowest price guaranteed.,Automotive,0.008324,63893,0,0,3,0,0,3
"The downtown condo you've been waiting for. Great value. Ends at midnight tonight. Quality you can trust. The counterintuitive trick that doubled our results. Start your free trial — no credit card, cancel anytime. Loved by customers.",Real Estate,0.009024,25724,3,1,0,3,3,1
The getaway package you've been waiting for. Rated 4.8/5 by thousands. The counterintuitive trick that doubled our results. Get started. Final hours. Unbeatable price. Great value.,Travel & Hospitality,0.017257,4969,2,2,0,1,3,3
The daily supplements you've been waiting for. Rated 4.8/5 by thousands. Save 30% today. Available now. Grab yours now. A new product. The luxury standard.,Health & Wellness,0.01416,43109,0,2,2,2,0,0
The unlimited data plan you've been waiting for. Learn more. Last chance. For everyone. Cut your bill by half. The secret pros use. Affordable for everyone.,Telecom,0.010837,99825,2,0,2,0,2,2
"The coffee subscription you've been waiting for. Great value. Get started. 48-hour flash sale. #1 rated in its category, backed by 25,000 five-star reviews. Affordable for everyone.",Food & Beverage,0.02615,17683,3,3,0,1,0,2
"The monthly donation you've been waiting for. Save $75 instantly and get free shipping over $50. Trusted by 10,000+ buyers. Affordable for everyone. The secret pros use. Available now.",Nonprofit,0.013871,27824,0,2,3,0,2,2
The daily supplements you've been waiting for. Loved by customers. Budget-friendly. Cut your bill by half. Shop now. Final hours. What nobody tells you about.,Health & Wellness,0.020795,18217,2,1,2,1,2,2
"The skincare set you've been waiting for. A smarter choice. Shop the collection. Start your free trial — no credit card, cancel anytime. The secret pros use. Budget-friendly.",Beauty & Cosmetics,0.021334,109134,0,0,0,3,2,2
"The coffee subscription you've been waiting for. Save $75 instantly and get free shipping over $50. The counterintuitive trick that doubled our results. Lowest price guaranteed. Rated 4.8/5 by thousands. Start your free trial — no credit card, cancel anytime. Ends at midnight tonight.",Food & Beverage,0.03829,20078,3,2,3,3,3,3
"The game pass you've been waiting for. A smarter choice. Start your free trial — no credit card, cancel anytime. Loved by customers. Quality you can trust. Ends soon.",Gaming,0.028728,95273,1,1,0,3,0,1
"The coffee subscription you've been waiting for. Offer expires today — act now. Trusted by 10,000+ buyers. Save $75 instantly and get free shipping over $50. Lowest price guaranteed. Start your free trial — no credit card, cancel anytime.",Food & Beverage,0.029275,25648,3,2,3,3,0,3
"The wireless headphones you've been waiting for. Here's why it works. Ends soon. Budget-friendly. Save on your order. Shop now. #1 rated in its category, backed by 25,000 five-star reviews.",Consumer Electronics,0.022004,87944,1,3,1,1,1,2
"The streaming plan you've been waiting for. Start your free trial — no credit card, cancel anytime. A customer favorite. The secret pros use. Save $75 instantly and get free shipping over $50. Unbeatable price. Today only.",Entertainment / Streaming,0.044601,152373,2,1,3,3,2,3
"The coffee subscription you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Premium craftsmanship. Start your free trial. A smarter choice. Final hours. The counterintuitive trick that doubled our results.",Food & Beverage,0.023373,74084,2,3,0,2,3,0
The streaming plan you've been waiting for. Ends at midnight tonight. Grab yours now. The counterintuitive trick that doubled our results. Unbeatable price. Save 30% today. Highly rated.,Entertainment / Streaming,0.038381,164462,3,1,2,2,3,3
The insurance plan you've been waiting for. Grab yours now. The luxury standard. Great value. Offer expires today — act now. A new product.,Insurance,0.005798,199301,3,0,0,2,0,0
"The training program you've been waiting for. Lowest price guaranteed. Cut your bill by half. #1 rated in its category, backed by 25,000 five-star reviews. Start your free trial. While supplies last. What nobody tells you about.",Fitness,0.032078,8209,1,3,2,2,2,3
The getaway package you've been waiting for. Try it today. Highly rated. Budget-friendly. Shop the collection. The counterintuitive trick that doubled our results. Save 30% today.,Travel & Hospitality,0.016068,81748,0,1,2,1,3,2
"The family sedan you've been waiting for. Start your free trial — no credit card, cancel anytime. While supplies last. The counterintuitive trick that doubled our results. A smarter choice. Premium craftsmanship.",Automotive,0.00649,34415,1,0,0,3,3,0
"The streaming plan you've been waiting for. Save $75 instantly and get free shipping over $50. Last chance. A customer favorite. Start your free trial — no credit card, cancel anytime. Unbeatable price. Here's why it works.",Entertainment / Streaming,0.036077,54777,2,1,3,3,1,3
The coffee subscription you've been waiting for. For everyone. Cut your bill by half. 48-hour flash sale. Affordable for everyone. The secret pros use.,Food & Beverage,0.022879,198308,3,0,2,0,2,2
"The online course you've been waiting for. Highly rated. Offer expires today — act now. The counterintuitive trick that doubled our results. Cut your bill by half. Start your free trial — no credit card, cancel anytime. Lowest price guaranteed.",Education / e-Learning,0.019871,179093,3,1,2,3,3,3
"The wireless headphones you've been waiting for. The counterintuitive trick that doubled our results. Unbeatable price. Start your free trial — no credit card, cancel anytime. 48-hour flash sale. For everyone. Save on your order.",Consumer Electronics,0.026085,89561,3,0,1,3,3,3
"The training program you've been waiting for. The secret pros use. Ends at midnight tonight. Start your free trial — no credit card, cancel anytime. #1 rated in its category, backed by 25,000 five-star reviews. Save 30% today. The luxury standard.",Fitness,0.028896,67066,3,3,2,3,2,0
The coffee subscription you've been waiting for. Premium craftsmanship. Available now. Shop now. What nobody tells you about. Great value. Highly rated.,Food & Beverage,0.012746,179132,0,1,0,1,2,0
"The sneakers you've been waiting for. The luxury standard. Ends at midnight tonight. What nobody tells you about. Get 40% off. Join 50,000 happy customers. Shop now.",E-commerce Fashion,0.022991,10578,3,2,2,1,2,0
"The unlimited data plan you've been waiting for. Claim your discount. What nobody tells you about. Offer expires today — act now. Save $75 instantly and get free shipping over $50. #1 rated in its category, backed by 25,000 five-star reviews. The luxury standard.",Telecom,0.016103,114918,3,3,3,2,2,0
The software suite you've been waiting for. Grab yours now. You'll want to see this. Don't miss out. Great value. The luxury standard.,SaaS / B2B,0.007248,33217,1,0,0,2,1,0
The unlimited data plan you've been waiting for. Great value. Here's why it works. A customer favorite. Lowest price guaranteed. Grab yours now. While supplies last.,Telecom,0.011905,28818,1,1,0,2,1,3
"The family sedan you've been waiting for. Shop the collection. Lowest price guaranteed. You'll want to see this. Learn more. Join 50,000 happy customers. Get 40% off.",Automotive,0.009205,122356,0,2,2,0,1,3
"The family sedan you've been waiting for. Get 40% off. Quality you can trust. Offer expires today — act now. The counterintuitive trick that doubled our results. #1 rated in its category, backed by 25,000 five-star reviews.",Automotive,0.010651,148952,3,3,2,0,3,1
The monthly donation you've been waiting for. Don't miss out. Real savings inside. Premium craftsmanship. Get started. A customer favorite. The secret pros use.,Nonprofit,0.009713,59689,1,1,1,1,2,0
"The online course you've been waiting for. For everyone. Lowest price guaranteed. Start your free trial — no credit card, cancel anytime. The counterintuitive trick that doubled our results. Great value.",Education / e-Learning,0.012378,32045,0,0,0,3,3,3
The wireless headphones you've been waiting for. Try it today. Quality you can trust. Today only. You'll want to see this. Save $75 instantly and get free shipping over $50.,Consumer Electronics,0.01788,142782,2,0,3,1,1,1
"The skincare set you've been waiting for. The counterintuitive trick that doubled our results. Learn more. Budget-friendly. Last chance. Real savings inside. #1 rated in its category, backed by 25,000 five-star reviews.",Beauty & Cosmetics,0.033318,160553,2,3,1,0,3,2
"The sneakers you've been waiting for. Save $75 instantly and get free shipping over $50. Start your free trial — no credit card, cancel anytime. You'll want to see this. Today only. Quality you can trust.",E-commerce Fashion,0.023709,22133,2,0,3,3,1,1
"The unlimited data plan you've been waiting for. Available now. Save 30% today. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews. Claim your discount. The counterintuitive trick that doubled our results.",Telecom,0.012022,113108,0,3,2,2,3,1
"The streaming plan you've been waiting for. The luxury standard. Real savings inside. You'll want to see this. Start your free trial — no credit card, cancel anytime. Available now.",Entertainment / Streaming,0.020106,180178,0,0,1,3,1,0
The family sedan you've been waiting for. Save on your order. Quality you can trust. Today only. A customer favorite. The counterintuitive trick that doubled our results.,Automotive,0.007665,51321,2,1,1,0,3,1
"The coffee subscription you've been waiting for. A customer favorite. Today only. Start your free trial — no credit card, cancel anytime. Quality you can trust. Save on your order. What nobody tells you about.",Food & Beverage,0.021601,144925,2,1,1,3,2,1
"The downtown condo you've been waiting for. A new product. 48-hour flash sale. Save $75 instantly and get free shipping over $50. Lowest price guaranteed. Try it today. #1 rated in its category, backed by 25,000 five-star reviews.",Real Estate,0.010551,83278,3,3,3,1,0,3
"The sneakers you've been waiting for. Highly rated. Budget-friendly. Save $75 instantly and get free shipping over $50. Start your free trial — no credit card, cancel anytime. The secret pros use. Offer expires today — act now.",E-commerce Fashion,0.037712,12230,3,1,3,3,2,2
The credit card you've been waiting for. Real savings inside. Start your free trial. Premium craftsmanship. For everyone. Here's why it works.,Finance / Fintech,0.007599,65794,0,0,1,2,1,0
The wireless headphones you've been waiting for. Loved by customers. Lowest price guaranteed. Here's why it works. A smarter choice. Shop the collection. Grab yours now.,Consumer Electronics,0.017911,77977,0,1,0,2,1,3
The training program you've been waiting for. 48-hour flash sale. Get 40% off. Affordable for everyone. A customer favorite. Get started.,Fitness,0.026096,151266,3,1,2,1,0,2
"The credit card you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Grab yours now. Great value. Quality you can trust. A new product.",Finance / Fintech,0.010588,189390,0,3,0,2,0,1
"The unlimited data plan you've been waiting for. Quality you can trust. Cut your bill by half. Get started. The counterintuitive trick that doubled our results. Offer expires today — act now. #1 rated in its category, backed by 25,000 five-star reviews.",Telecom,0.014502,150134,3,3,2,1,3,1
The downtown condo you've been waiting for. Final hours. A new product. Affordable for everyone. A customer favorite. A smarter choice. Learn more.,Real Estate,0.006036,5648,2,1,0,0,0,2
The training program you've been waiting for. Save on your order. Learn more. Rated 4.8/5 by thousands. The luxury standard. Shop the collection. The counterintuitive trick that doubled our results.,Fitness,0.017561,183068,0,2,1,0,3,0
The family sedan you've been waiting for. Lowest price guaranteed. A smarter choice. For everyone. While supplies last.,Automotive,0.007668,140708,1,0,0,0,0,3
"The garden kit you've been waiting for. #1 rated in its category, backed by 25,000 five-star reviews. Start your free trial — no credit card, cancel anytime. Here's why it works. A smarter choice. While supplies last. Quality you can trust.",Home & Garden,0.015013,161657,1,3,0,3,1,1
"The training program you've been waiting for. Save $75 instantly and get free shipping over $50. For everyone. The luxury standard. Today only. Start your free trial — no credit card, cancel anytime. A new product.",Fitness,0.020246,96824,2,0,3,3,0,0
The family sedan you've been waiting for. Learn more. Save 30% today. Unbeatable price. A new product.,Automotive,0.007725,95612,0,0,2,0,0,3
The grain-free pet food you've been waiting for. Save $75 instantly and get free shipping over $50. Premium craftsmanship. Only 24 hours left. The secret pros use.,Pet Care,0.018942,56405,2,0,3,0,2,0
"The training program you've been waiting for. You'll want to see this. Loved by customers. Only 24 hours left. Lowest price guaranteed. Start your free trial — no credit card, cancel anytime. Cut your bill by half.",Fitness,0.029189,85383,2,1,2,3,1,3
"The monthly donation you've been waiting for. Great value. Affordable for everyone. While supplies last. The counterintuitive trick that doubled our results. Start your free trial — no credit card, cancel anytime. Join 50,000 happy customers.",Nonprofit,0.014255,75324,1,2,0,3,3,2
"The online course you've been waiting for. Lowest price guaranteed. Save $75 instantly and get free shipping over $50. Here's why it works. #1 rated in its category, backed by 25,000 five-star reviews. Don't miss out. Start your free trial — no credit card, cancel anytime.",Education / e-Learning,0.021947,769,1,3,3,3,1,3
"The garden kit you've been waiting for. The counterintuitive trick that doubled our results. Final hours. Shop now. Trusted by 10,000+ buyers. Save $75 instantly and get free shipping over $50. Unbeatable price.",Home & Garden,0.024265,137875,2,2,3,1,3,3
"The sneakers you've been waiting for. Cut your bill by half. Trusted by 10,000+ buyers. Quality you can trust. Shop the collection. The counterintuitive trick that doubled our results. Try it today.",E-commerce Fashion,0.022702,610,0,2,2,1,3,1
"The designer watch you've been waiting for. The luxury standard. Only 24 hours left. Trusted by 10,000+ buyers. Get 40% off.",Luxury Goods,0.009144,108998,2,2,2,0,0,0
The getaway package you've been waiting for. Save on your order. You'll want to see this. Don't miss out. Quality you can trust.,Travel & Hospitality,0.009728,133234,1,0,1,0,1,1
The getaway package you've been waiting for. Loved by customers. Cut your bill by half. Affordable for everyone. Shop now. What nobody tells you about. Offer expires today — act now.,Travel & Hospitality,0.017963,168809,3,1,2,1,2,2
The monthly donation you've been waiting for. Shop now. Lowest price guaranteed. Ends at midnight tonight. Cut your bill by half. Here's why it works. Highly rated.,Nonprofit,0.017387,71553,3,1,2,1,1,3
"The online course you've been waiting for. Premium craftsmanship. The counterintuitive trick that doubled our results. Save $75 instantly and get free shipping over $50. #1 rated in its category, backed by 25,000 five-star reviews. Claim your discount.",Education / e-Learning,0.016011,101684,0,3,3,2,3,0
"The training program you've been waiting for. Save $75 instantly and get free shipping over $50. Don't miss out. Start your free trial. The secret pros use. Quality you can trust. #1 rated in its category, backed by 25,000 five-star reviews.",Fitness,0.027586,19494,1,3,3,2,2,1
The sneakers you've been waiting for. You'll want to see this. Save $75 instantly and get free shipping over $50. Premium craftsmanship. Don't miss out.,E-commerce Fashion,0.016713,104931,1,0,3,0,1,0
"The grain-free pet food you've been waiting for. Save $75 instantly and get free shipping over $50. Premium craftsmanship. Trusted by 10,000+ buyers. Offer expires today — act now. Shop now. The counterintuitive trick that doubled our results.",Pet Care,0.026209,131573,3,2,3,1,3,0
The coffee subscription you've been waiting for. For everyone. Premium craftsmanship. Get started. Save $75 instantly and get free shipping over $50. You'll want to see this. Shop the collection.,Food & Beverage,0.013165,6580,0,0,3,1,1,0
"The training program you've been waiting for. Quality you can trust. Real savings inside. Start your free trial — no credit card, cancel anytime. While supplies last. A new product. Trusted by 10,000+ buyers.",Fitness,0.019872,82822,1,2,1,3,0,1
