text_a,text_b,expected_winner,model_winner,score_a,score_b,correct,source
⚡ 80% off TODAY ONLY — 200 left in stock. Don't wait.,Big savings on selected items — shop our sale now,0,0,0.03444772298048504,0.018696021699109954,True,Meta Ads benchmarks 2022 — bold emoji + caps + countdown
"I grew my email list from 0 to 10,000 in 90 days. Here's how",Email list growth strategies — learn what works,0,0,0.02050048332593514,0.009876716755681823,True,Teachable A/B test 2021 — story hook on Facebook
Struggling to get clients? I was too — until I found this.,Get more clients with our marketing framework,0,0,0.011158899363783179,0.007057237036619052,True,Copyhackers 2020 — empathy hook on Facebook wins
See your entire sales pipeline in one view — free for 14 day,Sales pipeline management software — sign up today,0,0,0.022249216020567286,0.01219220840749598,True,PipeDrive A/B test 2021 — visual benefit + free trial
Reduce customer churn by 35% — proven across 500+ B2B SaaS c,Customer success platform — reduce churn and grow NRR,0,0,0.017131554706926587,0.006312103654490192,True,ChurnZero case study 2022 — specific % claim + social proof
From signup to first value in under 5 minutes — or your mone,"Onboarding software — fast, easy, and effective",0,0,0.022250388601165436,0.007707184092768649,True,Userpilot copy test 2022 — TTV specificity + guarantee
Free next-day delivery on orders over £30 — order before 3pm,Fast delivery on thousands of products — shop now,0,0,0.02443152286503549,0.010249601332913591,True,ASOS delivery promotion A/B test 2020 — specific threshold
"5 stars · 14,000 reviews · Ships today if ordered in next 2h",Top-rated products with fast shipping — buy now,0,0,0.02225757510497474,0.014693675355943224,True,Amazon social proof + urgency countdown A/B study 2021
0% balance transfer for 24 months — no transfer fee. Apply n,Credit card with a great balance transfer offer,0,0,0.016727610203504287,0.010858400667995904,True,MoneySavingExpert top offer feature 2022 — specific terms
"Your mortgage broker — whole-of-market, fee-free, 5-star rat",Find the best mortgage rate — we search the whole market,0,1,0.011448570518136837,0.013006983213682112,False,Habito A/B test 2021 — triple USP in one line
Try our new time management system,Warning: this app might make your team TOO productive,1,1,0.009613676438479091,0.013869880369786852,True,ProofHub viral ad 2020 — pattern interrupt wins unexpectedly
Our coffee is terrible — but it keeps you awake. Guaranteed.,Premium coffee blend for long work sessions,0,0,0.015844220281963636,0.009515259298669957,True,BrewDog-inspired self-deprecating copy test 2021 — humor wins
Flash sale: 60% off all running shoes — 48 hours only. Shop ,"We are committed to quality, innovation and sustainability.",0,0,0.02977360886702356,0.0022094588499684343,True,General principle — specific offer beats brand mission statement
Get 3 months of Netflix for free when you switch to us today,Explore a world of possibilities with our connected service.,0,0,0.020073329017147475,0.0013935872845924635,True,Telco bundled offer test 2021 — specific incentive wins
"Book in 60 seconds — prices from £29 return, no hidden fees.",Connecting people and places across the UK and Europe.,0,0,0.02251173343964613,0.0047482792341063595,True,easyJet copy test 2022 — concrete CTA vs brand tagline
35% off your first order + free delivery — code AUTO35,Quality products for every home — discover our range today.,0,0,0.017639353886531043,0.01123077112690694,True,IKEA first-purchase incentive test 2021
Buy.,Buy our premium kitchen appliances at great prices today.,1,1,0.008725661114258296,0.010277016301977734,True,General principle — extreme brevity loses to descriptive copy
Save up to 40% on premium kitchen appliances — 48-hour flash,Buy our premium kitchen appliances at great prices today.,0,0,0.025009851104923618,0.010277016301977734,True,General principle — specific offer + urgency beats generic CTA
Hurry! Today only! Don't miss out! Sale! Limited! Act now! F,Save 40% on selected items — today only. No code needed.,1,0,0.0307747402994272,0.02038190710634027,False,Overuse of urgency triggers ad fatigue — moderate wins
